title,description,employer,location,job_url,tags,featured
Production Engineering Manager,Lead production engineering at Invinity Energy in the UK.,Invinity Energy Systems,"Bathgate, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/113138-production-engineering-manager-invinity-energy-systems,Manufacturing | Battery Technology | Distributed Energy Resources | Health & Safety,False
Land Assistant,"Land Assistant at ScottishPower in Cambuslang, UK.",Scottish Power,"Cambuslang, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112667-land-assistant-scottish-power,Land Management | Energy Governance | Environmental Impact Assessment | Stakeholder Management,False
"Senior Engineer, Linux System/DevOps",Senior Linux/DevOps Engineer at Power Factors in Athens.,Power Factors,"Athens, Greece",https://rejobs.org/en/renewable-energy-jobs/113023-senior-engineer-linux-systemdevops-power-factors,Cloud Computing | Energy Analytics | Monitoring and Control Systems | Software Development,False
Pellet Mill Operator,"Pellet Mill Operator at Enviva in Lucedale, USA.",Enviva,"Lucedale, Mississippi, United States",https://rejobs.org/en/renewable-energy-jobs/112932-pellet-mill-operator-enviva,Bioenergy | Equipment Management,False
Head of Sales NCE,Lead sales for FairWind in Hamburg or Vejle.,FairWind,"Hamburg, Germany",https://rejobs.org/en/renewable-energy-jobs/112869-head-of-sales-nce-fairwind,Sales and Marketing | Onshore Wind Energy | Offshore Wind Energy | Business Development | Wind Farms | Stakeholder Management,False
"Summer Trainees at Bachelor or Master Level, Energy Conversion and Systems research group","Summer Trainee at Aalto University in Espoo, Finland.",Aalto University,"Espoo, Finland",https://rejobs.org/en/renewable-energy-jobs/112797-summer-trainees-at-bachelor-or-master-level-energy-conversion-and-systems-research-group-aalto-university,Thermal Energy | Battery Technology | AI for Energy,False
Senior Solar Scientist,Senior Solar Scientist at 3E in Brussels driving PV innovation.,3E,"Brussels, Belgium",https://rejobs.org/en/renewable-energy-jobs/113145-senior-solar-scientist-3e,Project Management | Energy Analytics | Photovoltaic Systems,False
Associate,Join OX2 in Warsaw as a Transaction Associate in renewable energy.,OX2,"Warsaw, Poland",https://rejobs.org/en/renewable-energy-jobs/113094-associate-ox2,Energy Due Diligence | Energy Policy | Project Finance | Stakeholder Management,False
Full Stack Developer,"Full Stack Developer at Ørsted in Warsaw, Poland.",Ørsted,"Warsaw, Poland",https://rejobs.org/en/renewable-energy-jobs/112810-full-stack-developer-orsted,Python Development | Software Development | Agile Methodologies | Energy Trading,False
"Senior Manager, Cost Accounting","Senior Manager, Cost Accounting at Commonwealth Fusion Systems in Devens, MA.",Commonwealth Fusion Systems,"Devens, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/113232-senior-manager-cost-accounting-commonwealth-fusion-systems,Cost Management | Energy Economics,False
Proposal Coordinator,"Proposal Coordinator at TransGrid in Sydney, Australia.",TransGrid,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/113237-proposal-coordinator-transgrid,Proposal Writing | Project Management | Energy Policy | Stakeholder Management,False
Operations Field Technician II,"Operations Field Technician II at Maas Energy Works in Burley, USA.",Maas Energy Works,"Burley, United States",https://rejobs.org/en/renewable-energy-jobs/113291-operations-field-technician-ii-maas-energy-works,Maintenance | Biogas Energy | Electrical Engineering | Mechanical Engineering | Waste Management | Safety Management,False
Business Intelligence Data Engineer,"BI Data Engineer at Semco Maritime in Esbjerg, Denmark.",Semco Maritime,"Esbjerg, Denmark",https://rejobs.org/en/renewable-energy-jobs/112882-business-intelligence-data-engineer-semco-maritime,Data | Analytics | Energy Analytics,False
Design transmission line engineer,Design Transmission Line Engineer at Ulteig in the US.,Ulteig,United States,https://rejobs.org/en/renewable-energy-jobs/113045-design-transmission-line-engineer-ulteig,High Voltage | Project Management | Utility Management,False
"Balance of Plant (BOP) Wind Technician, Pincher Creek (Temp)","BOP Wind Technician at TransAlta in Pincher Creek, Alberta.",TransAlta,"Pincher Creek, Alberta, Canada",https://rejobs.org/en/renewable-energy-jobs/112880-balance-of-plant-bop-wind-technician-pincher-creek-temp-transalta,Safety Management | Onshore Wind Energy | Turbine Operations | Wind O&M,False
Civil Project Manager,"Civil Project Manager at Windlab in Brisbane, Australia.",Windlab,"Brisbane, Australia",https://rejobs.org/en/renewable-energy-jobs/113135-civil-project-manager-windlab,Civil Engineering | Project Management | EPC Management | Onshore Wind Energy,False
Automation Engineer,"Automation Engineer at Semco Maritime in Esbjerg, Denmark.",Semco Maritime,"Esbjerg, Denmark",https://rejobs.org/en/renewable-energy-jobs/112885-automation-engineer-semco-maritime,Offshore Engineering | Hybrid Power Plants | Power Electronics | Automated Manufacturing | Control Engineering,False
Senior Counsel,"Senior Counsel at Avangrid in Boston, MA, advising on renewable energy projects.",AVANGRID,"Boston, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/112601-senior-counsel-avangrid,Regulatory Compliance | Power Purchase Agreement | Environmental Management | Energy Policy,False
HVAC Installer,"HVAC Installer at Freedom Solar Power in Houston, TX.",Freedom Solar Power,"Houston, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/113244-hvac-installer-freedom-solar-power,Heat Pumps | Hybrid Power Plants | Customer Management,False
Commercial Manager,Commercial Manager at TransGrid in Sydney driving major energy projects.,TransGrid,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/113240-commercial-manager-transgrid,Construction | Contract Management | Commercial Management | Energy Governance | Risk Management,False
Project Engineer,"Project Engineer at Rondo Energy in Kansas City, US.",Rondo Energy,"Kansas City, Kansas, United States",https://rejobs.org/en/renewable-energy-jobs/113131-project-engineer-rondo-energy,Thermal Energy | Project Management | Engineering Management | Battery Technology | Clean Energy Solutions,False
Energy Efficiency Outreach Specialist,"Energy Efficiency Outreach Specialist at Evergreen Energy Partners in Yakima, WA.",Evergreen Energy Partners,"Yakima, Washington, United States",https://rejobs.org/en/renewable-energy-jobs/113130-energy-efficiency-outreach-specialist-evergreen-energy-partners,Training & Development | Customer Management | Energy Auditing | Technical Support,False
Data Scientist,Data Scientist at SSE Renewables in Glasgow driving AI solutions.,SSE Renewables,"Glasgow, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112887-data-scientist-sse-renewables,Machine Learning | Energy Analytics | AI for Energy | Procurement,False
Lead Financial Accountant,"Lead Financial Accountant at Snowy Hydro in Sydney, hybrid role.",Snowy Hydro Limited,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/113033-lead-financial-accountant-snowy-hydro-limited,Accounting & Finance | Energy Asset Valuation | Energy Economics | Energy Policy,False
Power Electronics Engineer,"Power Electronics Engineer at Thea Energy in Kearny, NJ.",Thea Energy,"Kearny, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/113120-power-electronics-engineer-thea-energy,Power Electronics | Electrical Engineering | Thermal Energy,False
Senior Finance Controller,Senior Finance Controller at Landis+Gyr in Prague.,Landis+Gyr,"Prague, Czech Republic",https://rejobs.org/en/renewable-energy-jobs/112787-senior-finance-controller-landisgyr,Accounting & Finance | Energy Governance,False
Land Assistant,"Land Assistant at Scottish Power in Cambuslang, UK.",Scottish Power,"Cambuslang, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112608-land-assistant-scottish-power,Land Management | Energy Governance | Environmental Impact Assessment | Stakeholder Management,False
Power Supply Intern,"Power Supply Intern at Antora Energy in San Jose, CA.",Antora Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/113091-power-supply-intern-antora-energy,Battery Technology | Energy Analytics | Power Systems | AI for Energy | Energy Trading,False
Senior Director of Strategic Supply Chain and Technical Operations,"Lead supply chain at Invinity Energy in Vancouver, Canada.",Invinity Energy Systems,"Vancouver, Canada",https://rejobs.org/en/renewable-energy-jobs/113141-senior-director-of-strategic-supply-chain-and-technical-operations-invinity-energy-systems,Supply Chain Management | Battery Technology | Distributed Energy Resources | Clean Energy Innovation | Stakeholder Management,False
Financial Accountant,"Financial Accountant at AGL Energy in Sydney, Australia.",AGL Energy,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/112899-financial-accountant-agl-energy,Energy Governance | Energy Policy,False
Electrical Application Engineer (m/w/d),"Electrical Application Engineer at AEG Power Solutions in Belecke, Germany.",AEG Power Solutions,"Belecke, Germany",https://rejobs.org/en/renewable-energy-jobs/113007-electrical-application-engineer-mwd-aeg-power-solutions,Power Electronics | Electrical Engineering | EPC Management | Technical Support,False
Wind Turbine Technician,"Join EDF Energy as a Wind Turbine Technician in Goole, UK.",EDF Energy,"Goole, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112660-wind-turbine-technician-edf-energy,Safety Management | Wind Turbine Technician | Onshore Wind Energy | Turbine Operations | Wind O&M,False
Communications Intern,"Communications Intern at Antora Energy in San Jose, CA.",Antora Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/113093-communications-intern-antora-energy,Content Management | Marketing and Communications | AI for Energy,False
Energy Storage Project Engineer,Energy Storage Project Engineer at SOLV Energy in Nevada.,"SOLV Energy, LLC","Yerington, Nevada, United States",https://rejobs.org/en/renewable-energy-jobs/113040-energy-storage-project-engineer-solv-energy-llc,Battery Management Systems | Battery Technology | Distributed Energy Resources,False
Software Engineer,"Software Engineer at Volue in Gdańsk, Poland.",Volue,"Gdańsk, Poland",https://rejobs.org/en/renewable-energy-jobs/113004-software-engineer-volue,Cloud Computing | Software Development | Energy Analytics,False
Proposal Manager,"Proposal Manager at TransGrid in Sydney, leading complex energy proposals.",TransGrid,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/113236-proposal-manager-transgrid,Proposal Writing | Project Management | Energy Asset Valuation | Energy Economics | Energy Policy,False
Senior Accountant,"Senior Accountant at Maas Energy Works in Redding, CA.",Maas Energy Works,"Redding, California, United States",https://rejobs.org/en/renewable-energy-jobs/113293-senior-accountant-maas-energy-works,Waste-to-Energy | Accounting & Finance | Bioenergy | Environmental Management | Energy Economics,False
Project engineering experienced professional,"Project Engineer at Hitachi Energy in Xiamen, China.",Hitachi Energy,"Xiamen, Fujian, China",https://rejobs.org/en/renewable-energy-jobs/112721-project-engineering-experienced-professional-hitachi-energy,High Voltage | Project Management | Electrical Engineering | EPC Management,False
Internal Communications and Engagement Officer- 9 Month FTC,Join ORE Catapult in Glasgow or Blyth as Internal Communications Officer.,ORE Catapult,"Glasgow, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/113318-internal-communications-and-engagement-officer-9-month-ftc-ore-catapult,Marketing and Communications | Community Energy | Energy Justice,False
Project Manager,Project Manager at Vestas in Melbourne leading wind farm projects.,Vestas,"Melbourne, Australia",https://rejobs.org/en/renewable-energy-jobs/112761-project-manager-vestas,Project Management | EPC Management | Onshore Wind Energy | Wind Farms | Wind O&M,False
Data Architect,"Data Architect at Invinity Energy Systems in Vancouver, Canada.",Invinity Energy Systems,"Vancouver, Canada",https://rejobs.org/en/renewable-energy-jobs/113142-data-architect-invinity-energy-systems,Cloud Computing | Battery Management Systems | Battery Technology | Power Electronics,False
Wind Technician,"Wind Technician at Invenergy in Marseilles, IL.",Invenergy,"Marseilles, Illinois, United States",https://rejobs.org/en/renewable-energy-jobs/112942-wind-technician-invenergy,Safety Management | Blade Maintenance | Onshore Wind Energy | Turbine Operations | Wind Farms | Wind O&M,False
Project Engineer - Mechanical,Project Engineer (Mechanical) at Snowy Hydro in Australia.,Snowy Hydro Limited,"Melbourne, Australia",https://rejobs.org/en/renewable-energy-jobs/113031-project-engineer-mechanical-snowy-hydro-limited,Project Management | Engineering Management | Mechanical Engineering | Power Systems | Procurement,False
Site Supervisor Concrete Tower (m/w/d),"Site Supervisor Concrete Tower at Nordex in Tajonar, Spain.",Nordex,"Tajonar, Spain",https://rejobs.org/en/renewable-energy-jobs/112732-site-supervisor-concrete-tower-mwd-nordex,Construction | Health & Safety | Quality Assurance | Onshore Wind Energy | Turbine Operations | Project Management,False
Electrical Systems Design Engineer,"Electrical Systems Design Engineer at Bloom Energy in San Jose, CA.",Bloom Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/113207-electrical-systems-design-engineer-bloom-energy,Electrical Engineering | Distributed Energy Resources | Microgrids | Power Electronics,False
Indirect Commodity Manager,"Indirect Commodity Manager at Bloom Energy in Newark, USA.",Bloom Energy,"Newark, Delaware, United States",https://rejobs.org/en/renewable-energy-jobs/113213-indirect-commodity-manager-bloom-energy,Procurement | Contract Management | Clean Energy Solutions | Supply Chain Management,False
Apprentice Role - Management Accountant,Apprentice Management Accountant at Invinity Energy Systems in the UK.,Invinity Energy Systems,"Bathgate, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/113136-apprentice-role-management-accountant-invinity-energy-systems,Battery Technology | Distributed Energy Resources | Financial Services,False
Easements and development assessment coordinator,"Easements Coordinator at TransGrid in Sydney, managing development assessments.",TransGrid,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/113243-easements-and-development-assessment-coordinator-transgrid,Regulatory Compliance | Infrastructure Development | Environmental Management | Energy Governance | Stakeholder Management,False
Site Manager,"Site Manager at Maas Energy Works in Sioux Falls, SD.",Maas Energy Works,"Sioux Falls, South Dakota, United States",https://rejobs.org/en/renewable-energy-jobs/113290-site-manager-maas-energy-works,Maintenance | Construction | Biogas Energy | Operations Management | Electrical Engineering | Mechanical Engineering | Project Management | Safety Management,False
Head of Marketing - Electric Business,"Lead marketing for BURN's electric cooking in Nairobi, Kenya.",BURN,"Nairobi, Kenya",https://rejobs.org/en/renewable-energy-jobs/113192-head-of-marketing-electric-business-burn,Community Energy | Product Development | Sales and Marketing,False
Solar Field Service Tech II,"Solar Field Service Tech II at EDP Renewables in Bakersfield, USA.",EDP Renewables,"Bakersfield, United States",https://rejobs.org/en/renewable-energy-jobs/112924-solar-field-service-tech-ii-edp-renewables,Safety Management | Photovoltaic Systems | Power Electronics | Solar Installation | Solar O&M,False
Electrical Systems Design Engineer,"Electrical Systems Design Engineer at Bloom Energy in San Jose, CA.",Bloom Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/113208-electrical-systems-design-engineer-bloom-energy,Electrical Engineering | Distributed Energy Resources | Microgrids | Power Electronics,False
Mechanical Application Engineer (m/w/d),"Mechanical Application Engineer at AEG Power Solutions in Belecke, Germany.",AEG Power Solutions,"Belecke, Germany",https://rejobs.org/en/renewable-energy-jobs/113008-mechanical-application-engineer-mwd-aeg-power-solutions,Mechanical Engineering | Environmental Management | Green Hydrogen | Power Electronics | Project Management | Technical Writing,False
Senior SCADA Engineer - Battery Storage,Senior SCADA Engineer at Plus Power in multiple US cities.,Plus Power,"Houston, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/113150-senior-scada-engineer-battery-storage-plus-power,SCADA | Battery Management Systems | Battery Technology | Power Electronics,False
Field Sales Consultant,"Field Sales Consultant at Sunrun in Aurora, USA.",Sunrun,"Aurora, United States",https://rejobs.org/en/renewable-energy-jobs/112678-field-sales-consultant-sunrun,Sales and Marketing | Customer Management | Solar Installation | Energy Access | Retail Sales,False
Senior RtR Accountant,Senior RtR Accountant at Landis+Gyr in Prague.,Landis+Gyr,"Prague, Czech Republic",https://rejobs.org/en/renewable-energy-jobs/112789-senior-rtr-accountant-landisgyr,Energy Analytics,False
Remote Operations Technician - (In Office Position),"Remote Operations Technician at Maas Energy Works in Redding, CA.",Maas Energy Works,"Redding, California, United States",https://rejobs.org/en/renewable-energy-jobs/113289-remote-operations-technician-in-office-position-maas-energy-works,Biogas Energy | Remote Sensing | SCADA,False
Manufacturing Engineering (NPI) Manager,Lead Manufacturing Engineering at Invinity in Vancouver.,Invinity Energy Systems,"Vancouver, Canada",https://rejobs.org/en/renewable-energy-jobs/113137-manufacturing-engineering-npi-manager-invinity-energy-systems,Manufacturing | Product Development | Battery Technology | Distributed Energy Resources,False
Lead Technician,"Lead Technician at Natural Power in Scotland, leading turbine maintenance.",Natural Power,"Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/113022-lead-technician-natural-power,Blade Maintenance | Onshore Wind Energy | SCADA | Turbine Operations | Wind O&M,False
Workday Architect,"Workday Architect at Bloom Energy in San Jose, CA.",Bloom Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/113210-workday-architect-bloom-energy,Human Resources | Clean Energy Solutions | Energy Analytics,False
